ГЭСН|01|01-02-001|12|Земляные работы|УПЛОТНЕНИЕ ГРУНТА|Уплотнение грунта прицепными катками на пневмоколесном ходу 25 т|Уплотнение грунта прицепными катками на пневмоколесном ходу 25 т на первый проход по одному следу при толщине слоя: 25 с
ГЭСН|01|01-02-002|6|Земляные работы|УПЛОТНЕНИЕ ГРУНТА|Уплотнение грунта прицепными кулачковыми катками 8 т|Уплотнение грунта прицепными кулачковыми катками 8 т на первый проход по одному следу при толщине слоя: 10 см
ГЭСН|01|01-02-003|24|Земляные работы|УПЛОТНЕНИЕ ГРУНТА|Уплотнение грунта вибрационными катками 2,2 т|Уплотнение грунта вибрационными катками 2,2 т на первый проход по одному следу при толщине слоя: 25 см
ГЭСН|01|01-02-004|6|Земляные работы|УПЛОТНЕНИЕ ГРУНТА|Уплотнение грунта грунтоуплотняющими машинами со свободно падающими плитами|Уплотнение грунта грунтоуплотняющими машинами со свободно падающими плитами при толщине уплотняемого слоя: 30 см
ГЭСН|01|01-02-005|2|Земляные работы|УПЛОТНЕНИЕ ГРУНТА|Уплотнение грунта пневматическими трамбовками|Уплотнение грунта пневматическими трамбовками, группа грунтов: 1-2
ГЭСН|01|01-02-006|1|Земляные работы|УПЛОТНЕНИЕ ГРУНТА|Полив водой уплотняемого грунта насыпей|Полив водой уплотняемого грунта насыпей
ГЭСН|01|01-02-007|2|Земляные работы|УПЛОТНЕНИЕ ГРУНТА|Уплотнение грунта оснований под полы промышленных цехов|Уплотнение грунта оснований под полы промышленных цехов
ГЭСН|01|01-02-008|1|Земляные работы|УПЛОТНЕНИЕ ГРУНТА|Полив водой основания под полы промышленных цехов|Полив водой основания под полы промышленных цехов
ГЭСН|01|01-02-009|8|Земляные работы|УПЛОТНЕНИЕ ГРУНТА|Уплотнение грунта под основание здания трамбующими плитами|Уплотнение грунта под основание здания трамбующими плитами в котлованах с площадью дна: свыше 100 м2 при 6-9 ударах по о
ГЭСН|01|01-02-010|1|Земляные работы|УПЛОТНЕНИЕ ГРУНТА|Устройство грунтовых подушек на просадочных грунтах методом послойной укатки|Устройство грунтовых подушек на просадочных грунтах методом послойной укатки
