norm_code	table_code	table_name	division	unit	norm_name
12-01-018-01	12-01-018	Изоляция стаканов зенитных фонарей с обделкой примыканий кровель к ним	КРОВЛИ	100 м	Изоляция по периметру стаканов зенитных фонарей: из органического стекла в зданиях с покрытием из железобетонных плит
12-01-018-02	12-01-018	Изоляция стаканов зенитных фонарей с обделкой примыканий кровель к ним	КРОВЛИ	100 м	Изоляция по периметру стаканов зенитных фонарей: из стеклопакетов или листового стекла в зданиях с покрытием из железобетонных плит
12-01-018-03	12-01-018	Изоляция стаканов зенитных фонарей с обделкой примыканий кровель к ним	КРОВЛИ	100 м	Изоляция по периметру стаканов зенитных фонарей: из органического стекла в зданиях с покрытием из профилированного настила
12-01-018-04	12-01-018	Изоляция стаканов зенитных фонарей с обделкой примыканий кровель к ним	КРОВЛИ	100 м	Изоляция по периметру стаканов зенитных фонарей: из стеклопакетов или листового стекла в зданиях с покрытием из профилированного настила
12-01-019-01	12-01-019	Приготовление кровельных битумных мастик	КРОВЛИ	т	Приготовление кровельных битумных мастик
12-01-020-01	12-01-020	Устройство кровель различных типов из металлочерепицы	КРОВЛИ	100 м2	Устройство кровель различных типов из металлочерепицы
12-01-021-01	12-01-021	Устройство однослойной кровли из полимерного рулонного материала с установкой прижимных пластин	КРОВЛИ	100 м2	Устройство однослойной кровли из полимерного рулонного материала с установкой прижимных пластин
12-01-022-01	12-01-022	Устройство металлической обрешетки из оцинкованного профиля	КРОВЛИ	100 м	Устройство обрешетки из оцинкованного профиля для покрытия кровли
12-01-023-01	12-01-023	Устройство кровли из металлочерепицы по готовым прогонам	КРОВЛИ	100 м2	Устройство кровли из металлочерепицы по готовым прогонам: простая кровля
12-01-023-02	12-01-023	Устройство кровли из металлочерепицы по готовым прогонам	КРОВЛИ	100 м2	Устройство кровли из металлочерепицы по готовым прогонам: средней сложности
12-01-023-03	12-01-023	Устройство кровли из металлочерепицы по готовым прогонам	КРОВЛИ	100 м2	Устройство кровли из металлочерепицы по готовым прогонам: сложная кровля
12-01-024-01	12-01-024	Устройство кровли с применением мастики с 2-х слойным покрытием	КРОВЛИ	м2	Устройство кровли с применением мастики с 2-х слойным покрытием
12-01-025-01	12-01-025	Устройство примыканий из 2х слоёв битумно-полимерной мастики с армирующими прокладками из стеклоткан	КРОВЛИ	м2	Устройство примыканий из 2х слоёв битумно-полимерной мастики с армирующими прокладками из стеклоткани и покрытием светозащитным составом
12-01-026-01	12-01-026	Устройство кровель из рулонной стали по обрешетке из обрезной доски	КРОВЛИ	100 м2	Устройство кровель из рулонной стали по обрешетке из обрезной доски при: простой кровле
12-01-026-02	12-01-026	Устройство кровель из рулонной стали по обрешетке из обрезной доски	КРОВЛИ	100 м2	Устройство кровель из рулонной стали по обрешетке из обрезной доски при: кровле средней сложности
12-01-026-03	12-01-026	Устройство кровель из рулонной стали по обрешетке из обрезной доски	КРОВЛИ	100 м2	Устройство кровель из рулонной стали по обрешетке из обрезной доски при: сложной кровле
12-01-027-01	12-01-027	Устройство кровель из рулонной стали по основанию из цементно-стружечных плит по металлической обреш	КРОВЛИ	100 м2	Устройство кровель из рулонной стали по основанию из цементно-стружечных плит по металлической обрешетке при: простой кровле
12-01-027-02	12-01-027	Устройство кровель из рулонной стали по основанию из цементно-стружечных плит по металлической обреш	КРОВЛИ	100 м2	Устройство кровель из рулонной стали по основанию из цементно-стружечных плит по металлической обрешетке при: кровле средней сложности
12-01-027-03	12-01-027	Устройство кровель из рулонной стали по основанию из цементно-стружечных плит по металлической обреш	КРОВЛИ	100 м2	Устройство кровель из рулонной стали по основанию из цементно-стружечных плит по металлической обрешетке при: сложной кровле
12-01-028-01	12-01-028	Устройство плоских однослойных кровель из ПВХ мембран по готовому основанию со сваркой стыков	КРОВЛИ	100 м2	Устройство плоских однослойных кровель из ПВХ мембран (со сваркой полотен) с укладкой разделительного слоя по утеплителю, несущее основание из: металлического листа
12-01-028-02	12-01-028	Устройство плоских однослойных кровель из ПВХ мембран по готовому основанию со сваркой стыков	КРОВЛИ	100 м2	Устройство плоских однослойных кровель из ПВХ мембран (со сваркой полотен) с укладкой разделительного слоя по утеплителю, несущее основание из: бетона
12-01-028-03	12-01-028	Устройство плоских однослойных кровель из ПВХ мембран по готовому основанию со сваркой стыков	КРОВЛИ	100 м2	Устройство плоских кровель из ПВХ мембран методом свободной укладки
12-01-029-01	12-01-029	Устройство примыканий из ПВХ мембран к стенам и парапетам	КРОВЛИ	100 м	Устройство примыканий из ПВХ мембран к стенам и парапетам: высотой до 450 мм с одним фартуком
12-01-029-02	12-01-029	Устройство примыканий из ПВХ мембран к стенам и парапетам	КРОВЛИ	100 м	Устройство примыканий из ПВХ мембран к стенам и парапетам: высотой до 600 мм без фартука
12-01-029-03	12-01-029	Устройство примыканий из ПВХ мембран к стенам и парапетам	КРОВЛИ	100 м	Устройство примыканий из ПВХ мембран к стенам и парапетам: при изменении высоты на 100 мм добавлять или исключать к норме 12-01-029-02
12-01-030-01	12-01-030	Устройство примыканий из ПВХ мембран к трубам по готовому основанию	КРОВЛИ	10 м2	Устройство примыканий из ПВХ мембран к трубам по готовому основанию
12-01-031-01	12-01-031	Устройство покрытия из ПВХ мембран к парапетной стойке со сваркой стыков внахлест по готовому основа	КРОВЛИ	10 м2	Устройство покрытия из ПВХ мембран к парапетной стойке со сваркой стыков внахлест по готовому основанию
12-01-032-01	12-01-032	Монтаж снегозадержателя, устройство системы снеготаяния и антиобледенения кровли	КРОВЛИ	100 м	Монтаж снегозадержателя: уголкового
12-01-032-02	12-01-032	Монтаж снегозадержателя, устройство системы снеготаяния и антиобледенения кровли	КРОВЛИ	100 м	Монтаж снегозадержателя: решетчатого и трубчатого
12-01-032-03	12-01-032	Монтаж снегозадержателя, устройство системы снеготаяния и антиобледенения кровли	КРОВЛИ	100 м	Устройство системы снеготаяния и антиобледенения кровли и водосточных желобов с применением электронагревательной ленты шириной: до 100 мм
12-01-032-04	12-01-032	Монтаж снегозадержателя, устройство системы снеготаяния и антиобледенения кровли	КРОВЛИ	100 м	Устройство системы снеготаяния и антиобледенения кровли и водосточных желобов с применением электронагревательной ленты шириной: свыше 100 мм
12-01-032-05	12-01-032	Монтаж снегозадержателя, устройство системы снеготаяния и антиобледенения кровли	КРОВЛИ	100 м	Устройство системы снеготаяния и антиобледенения водосточных труб с применением электронагревательной ленты
12-01-033-01	12-01-033	Монтаж кровли из профилированного листа для объектов непроизводственного назначения	КРОВЛИ	100 м2	Монтаж кровли из профилированного листа для объектов непроизводственного назначения: простой
12-01-033-02	12-01-033	Монтаж кровли из профилированного листа для объектов непроизводственного назначения	КРОВЛИ	100 м2	Монтаж кровли из профилированного листа для объектов непроизводственного назначения: средней сложности
